2025-05-05 20:39:59:338  [scheduled-task-1](0) Roll Log Complete
2025-05-05 20:39:59:340  [scheduled-task-1](0) SetTField called
2025-05-05 20:39:59:341  [scheduled-task-1](0) SetTField: Setting TC To 64
2025-05-05 20:39:59:343  [scheduled-task-1](0) SetTField called
2025-05-05 20:39:59:345  [scheduled-task-1](0) SetTField: Setting TT To ItemEntry
2025-05-05 20:39:59:347  [scheduled-task-1](0) SetTField called
2025-05-05 20:39:59:350  [scheduled-task-1](0) SetTField: Setting SI To 
2025-05-05 20:39:59:353  [scheduled-task-1](0) SetTField called
2025-05-05 20:39:59:355  [scheduled-task-1](0) SetTField: Setting OF To K
2025-05-05 20:39:59:357  [scheduled-task-1](0) SetTField called
2025-05-05 20:39:59:358  [scheduled-task-1](0) SetTField: Setting HO To OCItMU
2025-05-05 20:39:59:360  [scheduled-task-1](0) SetTField called
2025-05-05 20:39:59:362  [scheduled-task-1](0) SetTField: Setting FO To OcitMB
2025-05-05 20:39:59:364  [scheduled-task-1](0) SetTField called
2025-05-05 20:39:59:366  [scheduled-task-1](0) SetTField: Setting HX To  
2025-05-05 20:39:59:368  [scheduled-task-1](0) Process() called:
2025-05-05 20:39:59:371  [scheduled-task-1](0) SetTField called
2025-05-05 20:39:59:373  [scheduled-task-1](0) SetTField: Setting VO To MiraServJava_3_0_4
2025-05-05 20:39:59:375  [scheduled-task-1](0) Sock Is NULL
2025-05-05 20:39:59:377  [scheduled-task-1](0) Attempting to connect to localhost: 2077
2025-05-05 20:40:01:405  [scheduled-task-1](0) localhost: 2077 failed:Connection refused: connect
2025-05-05 20:40:01:409  [scheduled-task-1](0) Attempting to connect to localhost: 2077
2025-05-05 20:40:03:447  [scheduled-task-1](0) localhost: 2077 failed
2025-05-05 20:40:03:450  [scheduled-task-1](0) Unable to connect to miraserv(c):Connection refused: connect
